全 部,#genre#
CCTV-5＋（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225856/10000100000000060000000002628074_0.smil
CCTV-卫生健康（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221226136/454230037.smil
CCTV-第一剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225936/10000100000000060000000003050158_0.smil
CCTV-怀旧剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225938/10000100000000060000000003050159_0.smil
CCTV-风云音乐（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225940/10000100000000060000000003050160_0.smil
CCTV-世界地理（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225946/10000100000000060000000003050163_0.smil
CCTV-风云剧场（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225942/10000100000000060000000003050161_0.smil
中央新影-老故事,rtsp://10.11.187.39/PLTV/88888888/224/3221225924/10000100000000060000000003039889_0.smil
中央新影-中学生,rtsp://10.11.187.39/PLTV/88888888/224/3221225934/10000100000000060000000003039894_0.smil
贵 州,#genre#
贵州卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225675/10000100000000060000000002613889_0.smil
贵州-2 公共频道 （高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225547/10000100000000060000000000625232_0.smil
贵州-3 影视文艺频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225890/10000100000000060000000002952761_0.smil
贵州-4 大众生活频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225752/10000100000000060000000000695224_0.smil
贵州-5 生态·乡村频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225705/10000100000000060000000003088015_0.smil
贵州-6 科教健康频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225555/10000100000000060000000000625239_0.smil
贵州-7 经济频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225892/10000100000000060000000002952762_0.smil
遵义-综合,rtsp://10.11.187.39/PLTV/88888888/224/3221225679/10000100000000060000000002673165_0.smil
遵义-公共,rtsp://10.11.187.39/PLTV/88888888/224/3221225862/10000100000000060000000002673188_0.smil
遵义-都市,rtsp://10.11.187.39/PLTV/88888888/224/3221225681/10000100000000060000000002673166_0.smil
贵阳-1 新闻综合频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225575/10000100000000060000000000915786_0.smil
贵阳-2 经济生活频道,rtsp://10.11.187.39/PLTV/88888888/224/3221225577/10000100000000060000000000915787_0.smil
贵阳-3 法制频道,rtsp://10.11.187.39/PLTV/88888888/224/3221225581/10000100000000060000000000915789_0.smil
六盘水-1,rtsp://10.11.187.39/PLTV/88888888/224/3221225754/10000100000000060000000000937269_0.smil
六盘水-2,rtsp://10.11.187.39/PLTV/88888888/224/3221225756/10000100000000060000000000937270_0.smil
重 庆,#genre#
重庆卫视,https://tv.myukj.cn/023/cqyx.php?id=chongqingHD
重庆新闻,https://tv.myukj.cn/023/cqyx.php?id=CQTVNewsHD
重庆影视,https://tv.myukj.cn/023/cqyx.php?id=cqyingshiHD
重庆社会与法,https://tv.myukj.cn/023/cqyx.php?id=CQTVTrendyHD
重庆时尚生活,https://tv.myukj.cn/023/cqyx.php?id=cqssgwHD
重庆文体娱乐,https://tv.myukj.cn/023/cqyx.php?id=cqwtylHD
重庆新农村,https://tv.myukj.cn/023/cqyx.php?id=cqggncHD
重庆少儿https://tv.myukj.cn/023/cqyx.php?id=cqseHD
重庆科教,https://tv.myukj.cn/023/cqyx.php?id=CQTVkejiaoHD
重庆移动,https://tv.myukj.cn/023/cqyx.php?id=mryyHD
重庆新闻,https://tv.myukj.cn/023/cqyx.php?id=CQTVNewsHD
重庆影视,https://tv.myukj.cn/023/cqyx.php?id=cqyingshiHD
重庆社会与法,https://tv.myukj.cn/023/cqyx.php?id=CQTVTrendyHD
重庆时尚生活,https://tv.myukj.cn/023/cqyx.php?id=cqssgwHD
重庆文体娱乐,https://tv.myukj.cn/023/cqyx.php?id=cqwtylHD
重庆新农村,https://tv.myukj.cn/023/cqyx.php?id=cqggncHD
重庆少儿https://tv.myukj.cn/023/cqyx.php?id=cqseHD
重庆科教,https://tv.myukj.cn/023/cqyx.php?id=CQTVkejiaoHD
重庆移动,https://tv.myukj.cn/023/cqyx.php?id=mryyHD
湖 北,#genre#
湖北卫视,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbws
湖北公共新闻,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbggxw
湖北经视,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbjs
湖北综合,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbzh
湖北垄上,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbls
湖北影视,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbys
湖北生活,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbsh
湖北教育,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=hbjy
CHC动作电影,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=chcdzdy
CHC家庭影院,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=chcjtyy
CHC影迷电影,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=chcymdy
文物宝库,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=wwbk
梨园频道,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=lypd
武术世界,http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=wssj
卫 视,#genre#
湖南卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225842/10000100000000060000000002605410_0.smil
浙江卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225844/10000100000000060000000002605411_0.smil
北京卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225846/10000100000000060000000002605412_0.smil
江苏卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225848/10000100000000060000000002605413_0.smil
东方卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225850/10000100000000060000000002605414_0.smil
湖北卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225810/10000100000000060000000002584880_0.smil
山东卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225812/10000100000000060000000002584881_0.smil
安徽卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225820/10000100000000060000000002584899_0.smil
辽宁卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225814/10000100000000060000000002584882_0.smil
广东卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225816/10000100000000060000000002584883_0.smil
重庆卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225822/10000100000000060000000002584900_0.smil
黑龙江卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225824/10000100000000060000000002584901_0.smil
云南卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225818/10000100000000060000000002584884_0.smil
吉林卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225826/10000100000000060000000002584906_0.smil
甘肃卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225864/10000100000000060000000002718070_0.smil
天津卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225834/10000100000000060000000002597499_0.smil
河南卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225806/10000100000000060000000002563585_0.smil
江西卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225808/10000100000000060000000002563587_0.smil
广西卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225657/10000100000000060000000002590592_0.smil
四川卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225832/10000100000000060000000002597498_0.smil
山西卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225836/10000100000000060000000002597500_0.smil
深圳卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225830/10000100000000060000000002597490_0.smil
内蒙古卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225794/10000100000000060000000002563546_0.smil
宁夏卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225796/10000100000000060000000002563547_0.smil
河北卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225798/10000100000000060000000002563557_0.smil
陕西卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225800/10000100000000060000000002563558_0.smil
新疆卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225802/10000100000000060000000002563559_0.smil
西藏卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225804/10000100000000060000000002563560_0.smil
东南卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225573/10000100000000060000000000915785_0.smil
大湾区卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225982/10000100000000060000000003082391_0.smil
家有购物（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225565/10000100000000060000000000674479_0.smil
青海卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225966/10000100000000060000000003082383_0.smil
海南卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225968/10000100000000060000000003082384_0.smil
厦门卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225972/10000100000000060000000003082386_0.smil
中国交通频道·贵州,rtsp://10.11.187.39/PLTV/88888888/224/3221225990/10000100000000060000000003606753_0.smil
财富天下,rtsp://10.11.187.39/PLTV/88888888/224/3221225858/10000100000000060000000002628075_0.smil
CCTV-17 农业农村（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225677/10000100000000060000000002613919_0.smil
山东教育卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225970/10000100000000060000000003082385_0.smil
延边卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225900/10000100000000060000000003039877_0.smil
三沙卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221226104/381678349.smil
兵团卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225904/10000100000000060000000003039879_0.smil
BRTV  KAKU少儿,rtsp://10.11.187.39/PLTV/88888888/224/3221225655/10000100000000060000000002538026_0.smil
金鹰卡通（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225790/10000100000000060000000002562881_0.smil
嘉佳卡通,rtsp://10.11.187.39/PLTV/88888888/224/3221225792/10000100000000060000000002563545_0.smil
优漫卡通,rtsp://10.11.187.39/PLTV/88888888/224/3221225898/10000100000000060000000003039876_0.smil
哈哈炫动,rtsp://10.11.187.39/PLTV/88888888/224/3221225902/10000100000000060000000003039878_0.smil
农林卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225906/10000100000000060000000003039880_0.smil
康巴卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225908/10000100000000060000000003039881_0.smil
安多卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225910/10000100000000060000000003039882_0.smil
西藏藏语卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225912/10000100000000060000000003039883_0.smil
凤 凰,#genre#
重温经典,https://itv.myxcwh.com:4399/zj/yd/36436/index.m3u8?fmt=ts2hls#https://tv.myukj.cn/023/cqyx.php?id=cwjdHD
凤凰中文,https://itv.myxcwh.com:4399/zj/dx/202.35:5140
凤凰资讯,https://itv.myxcwh.com:4399/zj/dx/202.36:5140
凤凰香港,https://itv.myxcwh.com:4399/js/yd/?id=HD-10000k-1080P-fhhongkong5s
4 K,#genre#
求索记录4K,https://itv.myxcwh.com:4399/zj/yd/32776/index.m3u8?fmt=ts2hls#https://tv.myukj.cn/023/cqyx.php?id=qsjlHD
欢笑剧场4K,https://itv.myxcwh.com:4399/zj/dx/200.52:5140#https://tv.myukj.cn/023/cqyx.php?id=hxjc_4K#http://tv.nastool.site:56789/240109/hbydzte.php?/PLTV/&id=HXJC4K
CCTV4K,https://itv.myxcwh.com:4399/zj/yd/29373/index.m3u8?fmt=ts2hls#https://tv.myukj.cn/023/cqyx.php?id=CCTV4K
CCTV16奥林匹克4K超高清,https://itv.myxcwh.com:4399/zj/dx/201.63:5140#https://tv.myukj.cn/023/cqyx.php?id=CCTV16_4k
